"","knr","aar","knavn","pm2","Menn_ya_p","Kvinner_ya_p","Total_ya_p","inc_k1","inc_k5","uni_k_mf","uni_k_m","uni_k_f","uni_l_mf","uni_l_m","uni_l_f","Trade_p"
"490","0426","2017","Våler (Hedmark)",9579,57.4299312533051,53.7796976241901,55.6238311514828,25.5,11,16,13,19.2,2.6,2.4,2.9,39041
"491","0427","2008","Elverum",12133,59.4915432293308,57.7619143374221,58.6077575134858,21.5,14.4,20.4,15.5,25,4.5,6.5,2.7,80681
"492","0427","2009","Elverum",13041,59.22653082441,57.8466428287644,58.5208513232082,21.5,15,20.9,15.9,25.5,4.5,6.3,2.9,80785
"493","0427","2010","Elverum",13414,59.0356480527509,57.8199052132701,58.4148431985479,21.9,14.4,21.4,16.3,26.2,4.6,6.2,3.1,79960
"494","0427","2011","Elverum",14501,59.1229684145968,57.7677520596312,58.4313529205666,22,14.6,21.6,16.3,26.5,4.7,6.2,3.4,80201
"495","0427","2012","Elverum",15260,58.6958726295508,57.7009037022641,58.1877729257642,21.6,15,22.1,16.5,27.4,5,6.4,3.7,82258
"496","0427","2013","Elverum",15595,58.3207944628348,57.2778099093889,57.7889200216291,21.3,14.9,22.7,16.7,28.2,5.2,6.5,3.9,85254
"497","0427","2014","Elverum",16242,58.0606663351566,57.0612866387514,57.5499683898264,21.3,14.8,22.9,17.1,28.5,5.5,6.6,4.4,87605
"498","0427","2015","Elverum",16704,58.4395216624191,56.9958459214501,57.7041454265654,21.8,15,23.4,17.4,29,5.7,6.6,4.8,85883
"499","0427","2016","Elverum",17650,58.2072176949942,57.4426412982653,57.8174037089872,21.7,15.6,24,18,29.7,5.9,6.5,5.2,86388
"500","0427","2017","Elverum",18757,58.3244757947628,57.2971966098538,57.8013848050839,21.6,15.4,24.3,18.1,30.2,5.9,6.4,5.3,87428
"501","0428","2008","Trysil",10564,58.3088667058133,54.1829085457271,56.2676160807002,25.6,11.2,12.7,10,15.4,2.1,3,1.2,84212
